Date,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status
19/10/1999,13,V ugm-3,29,V ugm-3,48,V ugm-3
20/10/1999,21,V ugm-3,35,V ugm-3,66,V ugm-3
21/10/1999,31,V ugm-3,38,V ugm-3,86,V ugm-3
22/10/1999,58,V ugm-3,48,V ugm-3,136,V ugm-3
23/10/1999,45,V ugm-3,45,V ugm-3,114,V ugm-3
24/10/1999,13,V ugm-3,25,V ugm-3,43,V ugm-3
25/10/1999,71,V ugm-3,50,V ugm-3,158,V ugm-3
26/10/1999,116,V ugm-3,55,V ugm-3,232,V ugm-3
27/10/1999,76,V ugm-3,54,V ugm-3,169,V ugm-3
28/10/1999,97,V ugm-3,55,V ugm-3,203,V ugm-3
29/10/1999,77,V ugm-3,54,V ugm-3,171,V ugm-3
30/10/1999,38,V ugm-3,39,V ugm-3,96,V ugm-3
31/10/1999,15,V ugm-3,25,V ugm-3,47,V ugm-3
01/11/1999,34,V ugm-3,33,V ugm-3,84,V ugm-3
02/11/1999,71,V ugm-3,48,V ugm-3,156,V ugm-3
03/11/1999,101,V ugm-3,58,V ugm-3,212,V ugm-3
04/11/1999,79,V ugm-3,62,V ugm-3,183,V ugm-3
05/11/1999,51,V ugm-3,47,V ugm-3,124,V ugm-3
06/11/1999,48,V ugm-3,36,V ugm-3,108,V ugm-3
07/11/1999,61,V ugm-3,49,V ugm-3,143,V ugm-3
08/11/1999,108,V ugm-3,50,V ugm-3,215,V ugm-3
09/11/1999,38,V ugm-3,39,V ugm-3,97,V ugm-3
10/11/1999,25,V ugm-3,36,V ugm-3,74,V ugm-3
11/11/1999,24,V ugm-3,37,V ugm-3,74,V ugm-3
12/11/1999,72,V ugm-3,44,V ugm-3,154,V ugm-3
13/11/1999,45,V ugm-3,40,V ugm-3,108,V ugm-3
14/11/1999,12,V ugm-3,23,V ugm-3,42,V ugm-3
15/11/1999,108,V ugm-3,55,V ugm-3,221,V ugm-3
16/11/1999,63,V ugm-3,58,V ugm-3,153,V ugm-3
17/11/1999,81,V ugm-3,58,V ugm-3,181,V ugm-3
18/11/1999,59,V ugm-3,55,V ugm-3,145,V ugm-3
19/11/1999,39,V ugm-3,40,V ugm-3,99,V ugm-3
20/11/1999,25,V ugm-3,36,V ugm-3,74,V ugm-3
21/11/1999,54,V ugm-3,42,V ugm-3,125,V ugm-3
22/11/1999,85,V ugm-3,56,V ugm-3,186,V ugm-3
23/11/1999,104,V ugm-3,54,V ugm-3,213,V ugm-3
24/11/1999,44,V ugm-3,48,V ugm-3,115,V ugm-3
25/11/1999,66,V ugm-3,47,V ugm-3,148,V ugm-3
26/11/1999,43,V ugm-3,37,V ugm-3,103,V ugm-3
27/11/1999,58,V ugm-3,50,V ugm-3,138,V ugm-3
28/11/1999,16,V ugm-3,22,V ugm-3,46,V ugm-3
29/11/1999,127,V ugm-3,57,V ugm-3,251,V ugm-3
30/11/1999,43,V ugm-3,51,V ugm-3,116,V ugm-3
01/12/1999,61,V ugm-3,44,V ugm-3,137,V ugm-3
02/12/1999,45,V ugm-3,42,V ugm-3,110,V ugm-3
03/12/1999,32,V ugm-3,35,V ugm-3,83,V ugm-3
04/12/1999,44,V ugm-3,42,V ugm-3,109,V ugm-3
05/12/1999,49,V ugm-3,45,V ugm-3,119,V ugm-3
06/12/1999,26,V ugm-3,28,V ugm-3,68,V ugm-3
07/12/1999,44,V ugm-3,38,V ugm-3,106,V ugm-3
08/12/1999,37,V ugm-3,37,V ugm-3,93,V ugm-3
09/12/1999,33,V ugm-3,31,V ugm-3,81,V ugm-3
10/12/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
11/12/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
12/12/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
13/12/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
14/12/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
15/12/1999,59,V ugm-3,51,V ugm-3,140,V ugm-3
16/12/1999,82,V ugm-3,58,V ugm-3,184,V ugm-3
17/12/1999,67,V ugm-3,51,V ugm-3,153,V ugm-3
18/12/1999,111,V ugm-3,64,V ugm-3,233,V ugm-3
19/12/1999,42,V ugm-3,53,V ugm-3,117,V ugm-3
20/12/1999,180,V ugm-3,74,V ugm-3,349,V ugm-3
21/12/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
22/12/1999,44,V ugm-3,45,V ugm-3,112,V ugm-3
23/12/1999,39,V ugm-3,41,V ugm-3,100,V ugm-3
24/12/1999,30,V ugm-3,32,V ugm-3,78,V ugm-3
25/12/1999,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
26/12/1999,10,V ugm-3,24,V ugm-3,39,V ugm-3
27/12/1999,67,V ugm-3,42,V ugm-3,145,V ugm-3
28/12/1999,85,V ugm-3,56,V ugm-3,186,V ugm-3
29/12/1999,89,V ugm-3,54,V ugm-3,190,V ugm-3
30/12/1999,75,V ugm-3,55,V ugm-3,170,V ugm-3
31/12/1999,29,V ugm-3,42,V ugm-3,86,V ugm-3
01/01/2000,18,V ugm-3,38,V ugm-3,66,V ugm-3
02/01/2000,20,V ugm-3,38,V ugm-3,69,V ugm-3
03/01/2000,26,V ugm-3,34,V ugm-3,74,V ugm-3
04/01/2000,78,V ugm-3,56,V ugm-3,175,V ugm-3
05/01/2000,38,V ugm-3,46,V ugm-3,103,V ugm-3
06/01/2000,58,V ugm-3,47,V ugm-3,135,V ugm-3
07/01/2000,38,V ugm-3,44,V ugm-3,103,V ugm-3
08/01/2000,50,V ugm-3,43,V ugm-3,119,V ugm-3
09/01/2000,55,V ugm-3,45,V ugm-3,129,V ugm-3
10/01/2000,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
11/01/2000,55,V ugm-3,48,V ugm-3,133,V ugm-3
12/01/2000,30,V ugm-3,35,V ugm-3,81,V ugm-3
13/01/2000,88,V ugm-3,51,V ugm-3,186,V ugm-3
14/01/2000,53,V ugm-3,43,V ugm-3,124,V ugm-3
15/01/2000,25,V ugm-3,35,V ugm-3,73,V ugm-3
16/01/2000,59,V ugm-3,44,V ugm-3,133,V ugm-3
17/01/2000,100,V ugm-3,55,V ugm-3,207,V ugm-3
18/01/2000,59,V ugm-3,48,V ugm-3,138,V ugm-3
19/01/2000,68,V ugm-3,46,V ugm-3,150,V ugm-3
20/01/2000,90,V ugm-3,55,V ugm-3,192,V ugm-3
21/01/2000,95,V ugm-3,57,V ugm-3,203,V ugm-3
22/01/2000,34,V ugm-3,38,V ugm-3,90,V ugm-3
23/01/2000,16,V ugm-3,32,V ugm-3,56,V ugm-3
24/01/2000,107,V ugm-3,51,V ugm-3,214,V ugm-3
25/01/2000,176,V ugm-3,60,V ugm-3,329,V ugm-3
26/01/2000,122,V ugm-3,55,V ugm-3,241,V ugm-3
27/01/2000,74,V ugm-3,53,V ugm-3,166,V ugm-3
28/01/2000,30,V ugm-3,35,V ugm-3,81,V ugm-3
29/01/2000,18,V ugm-3,22,V ugm-3,49,V ugm-3
30/01/2000,14,V ugm-3,23,V ugm-3,44,V ugm-3
31/01/2000,27,V ugm-3,32,V ugm-3,74,V ugm-3
01/02/2000,40,V ugm-3,35,V ugm-3,96,V ugm-3
02/02/2000,47,V ugm-3,42,V ugm-3,114,V ugm-3
03/02/2000,77,V ugm-3,41,V ugm-3,158,V ugm-3
04/02/2000,43,V ugm-3,25,V ugm-3,90,V ugm-3
05/02/2000,76,V ugm-3,30,V ugm-3,145,V ugm-3
06/02/2000,45,V ugm-3,20,V ugm-3,88,V ugm-3
07/02/2000,41,V ugm-3,26,V ugm-3,88,V ugm-3
08/02/2000,36,V ugm-3,25,V ugm-3,81,V ugm-3
09/02/2000,39,V ugm-3,30,V ugm-3,90,V ugm-3
10/02/2000,43,V ugm-3,32,V ugm-3,99,V ugm-3
11/02/2000,60,V ugm-3,35,V ugm-3,127,V ugm-3
12/02/2000,38,V ugm-3,28,V ugm-3,86,V ugm-3
13/02/2000,49,V ugm-3,32,V ugm-3,106,V ugm-3
14/02/2000,84,V ugm-3,43,V ugm-3,172,V ugm-3
15/02/2000,58,V ugm-3,35,V ugm-3,123,V ugm-3
16/02/2000,37,V ugm-3,28,V ugm-3,84,V ugm-3
17/02/2000,62,V ugm-3,42,V ugm-3,137,V ugm-3
